Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
05-04-2010,19,27.5,22.2,81,5,4.5,5,135,2,SE
06-04-2010,19,28.3,22.7,68,1,4.7,3,270,1,W 
07-04-2010,20,27.9,23,79,8888,6.1,3,270,1,W 
08-04-2010,21,27.8,22.6,82,0,3.4,3,270,1,W 
09-04-2010,19,27.8,22.7,79,0,3.3,4,135,1,SE
10-04-2010,20,28.1,22.4,78,0,3.5,3,315,1,NW
11-04-2010,19,25.9,21,88,8,4.3,5,270,2,W 
12-04-2010,19,28.6,22.5,75,18,1.1,2,270,1,W 
13-04-2010,19,27.9,22.3,75,6,5.5,3,135,2,SE
14-04-2010,19,27,21.9,89,1,4.9,3,270,1,W 
15-04-2010,20,28.3,22.9,86,10,2.4,3,270,1,W 
16-04-2010,20,28.5,21.2,80,8888,3.4,5,270,2,W 
17-04-2010,20,28.5,22.6,82,3,1.6,3,135,2,SE
18-04-2010,19,27,21.8,73,0,2.9,2,135,1,SE
19-04-2010,19,27,22.4,76,0,3.6,3,270,1,W 
20-04-2010,19,28,22.7,72,0,5.8,2,270,1,W 
21-04-2010,21,27.8,22.5,80,3,4.1,3,135,1,SE
22-04-2010,20,27.4,23,87,13,4.5,5,135,2,SE
23-04-2010,20,28,23.1,82,0,2.9,3,135,1,SE
24-04-2010,20,27.6,22.8,84,1,2.5,3,270,1,W 
25-04-2010,19,27.6,23.2,73,0,2.7,3,135,1,SE
26-04-2010,19,28.4,23.1,78,0,4.3,2,270,1,W 
27-04-2010,19,27.2,22.6,78,0,5.4,3,270,2,W 
28-04-2010,19,26,22.6,84,0,3.3,3,270,2,W 
29-04-2010,19,27.2,22.2,84,8,2.7,3,315,2,NW
30-04-2010,19,28,22.2,86,2,2.9,4,135,2,SE
01-05-2010,19,29.2,23.5,81,0,4.8,3,270,1,W 
02-05-2010,20,28.4,23.1,81,0,3.6,5,135,2,SE
03-05-2010,20,27.6,22.9,81,0,3.1,4,270,2,W 
04-05-2010,20,29.2,23.5,80,8888,3.9,5,135,2,SE
05-05-2010,20,28,23.2,80,0,3.5,4,45,1,NE
06-05-2010,21,29,24.4,67,0,1.1,10,90,2,E 
07-05-2010,20,27.6,23.1,84,0,5.3,5,45,2,NE
08-05-2010,21,25.7,21.3,92,13,3.4,2,270,0,W 
09-05-2010,20,27.6,22.1,85,30,1.1,2,135,0,SE
10-05-2010,19,27,21.7,91,19,2.6,3,315,0,NW
11-05-2010,19,27.4,22,90,56,2.8,3,135,1,SE
12-05-2010,20,27,22.2,84,4,3.1,3,270,1,W 
13-05-2010,19,26.9,21.3,93,2,2.4,5,360,2,N 
14-05-2010,19,25.6,21.3,90,11,0.8,2,135,0,SE
15-05-2010,18,26,22.7,85,33,2.1,3,270,0,W 
16-05-2010,19,25,21.1,91,5,3.6,3,270,1,W 
17-05-2010,19,27.4,23.4,85,21,0,3,270,1,W 
18-05-2010,21,27.8,23.4,80,0,4,2,360,0,N 
